doc_id,path,single,pages,source_type,extraction_status,scope,scope_review,language,yield_per_page
IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,IL_Israel_#U05d0#U05e8#U05db#U05d9#U05d8#U05e7#U05d8#U05d5#U05e8#U05d4-#U05dc#U05d5#U05d2#U05d9#U05ea-#U05d0#U05e0#U05d2#U05dc#U05d9#U05ea.pdf,False,41,official,extracted,retail_or_general,,en,3.49
IN_RBI_2025,IN_India_DigitalRupee09012025.pdf,True,6,official,extracted,retail_or_general,,en,2.5
IS_CBI_2018,IS_Iceland_Special_Publication_12.pdf,True,36,official,extracted,retail_or_general,,en,1.78
IT_BdI_MISP_2021,IT_Italy_N.10-MISP.pdf,True,70,pseudo_official,extracted,retail_or_general,,en,3.3
JP_BoJ_2022,JP_BoJ_rel220526a.pdf,False,21,official,extracted,retail_or_general,,en,0.86
JP_BoJ_Pilot_EN,JP_BoJ_dig240531a.pdf,False,29,official,extracted,retail_or_general,,en,0.97
JP_BoJ_Pilot_JP,JP_BoJ_archived_dig240422a.pdf,False,27,official,extracted,retail_or_general,,ja,0.04
JP_BoJ_PoC2,JP_BoJ_dig230529a.pdf,False,31,official,extracted,retail_or_general,,en,1.81
MG_BFM_2023,MG_Madagascar_BFM-eAriary-project-651d75b89c1a3.pdf,False,17,official,extracted,retail_or_general,,en,0.0
MG_BFM_OP_2023,MG_Madagascar_projet-eAriary-One-pager.pdf,False,1,official,extracted,retail_or_general,,es,6.0
MG_BFM_RFI_2021,MG_Madagascar_BFM_e-Ariary_RFI-RFQ_VF-BFM.pdf,False,10,official,extracted,retail_or_general,,en,1.3
MO_AMCM_eMOP_WP,MO_Macao_e-MOP_en.pdf,True,62,official,extracted,retail_or_general,,en,1.52
NA_BoN_2022,NA_Namibia_dc7fb7a3-aaab-4f23-babb-2a1a86f71e5a.pdf,True,8,official,extracted,retail_or_general,,en,1.38
NO_Norway_nb_memo_2_19_dsp,NO_Norway_nb_memo_2_19_dsp.pdf,False,34,official,extracted,retail_or_general,,en,4.94
NO_Norway_nbmemo-1-2018,NO_Norway_nbmemo-1-2018-digitalesentralbankpenger.pdf,False,55,official,extracted,retail_or_general,,en,2.16
NO_Norway_norges-bank-memo-1-2021,NO_Norway_norges-bank-memo-1-2021.pdf,False,71,official,extracted,retail_or_general,,en,3.44
NO_Norway_norges-bank-memo-2_2020-eng,NO_Norway_norges-bank-memo-2_2020-eng.pdf,False,9,official,extracted,retail_or_general,,en,0.67
NO_Norway_norges-bank-papers-2---phase-4---final-report,NO_Norway_norges-bank-papers-2---phase-4---final-report.pdf,False,20,official,extracted,retail_or_general,,en,2.4
NZ_RBNZ_CBDCIssuesPaper_2021,WAYBACK_da81215e_cbdc-issues-paper.pdf,False,47,official,extracted,retail_or_general,,en,1.53
NZ_RBNZ_cbdc-insights-dossier-for-public-1,NZ_RBNZ_cbdc-insights-dossier-for-public-1.pdf,False,84,official,extracted,retail_or_general,,en,0.98
PE_Peru_cbdc-presentation,PE_Peru_cbdc-presentation.pdf,True,35,official,extracted,retail_or_general,,en,2.11
PH_Philippines_EFLP2024_1_2c,PH_Philippines_EFLP2024_1_2c.pdf,True,12,official,extracted,retail_or_general,,en,0.25
PW_Palau_Phase1_Report,PW_Palau_Republic-of-Palau-Stablecoin-Program-Phase-1-Report.pdf,True,25,pseudo_official,extracted,retail_or_general,,en,1.08
PY_BCP_Informe_CBDC,PY_BCP_Informe_CBDC.pdf,True,14,official,extracted,retail_or_general,,es,0.64
RU_Russia_concept_08042021,RU_Russia_concept_08042021.pdf,False,31,official,extracted,retail_or_general,,ru/uk,3.45
RU_Russia_consultation_paper_201013,RU_Russia_consultation_paper_201013_eng.pdf,False,45,official,extracted,retail_or_general,,en,1.87
RU_Russia_digital_ruble_30062025,RU_Russia_digital_ruble_30062025.pdf,False,25,official,extracted,retail_or_general,,ru/uk,3.08
RW_Rwanda_CBDC_Ideathon,RW_Rwanda_CBDC_Ideathon.pdf,True,8,official,extracted,retail_or_general,,en,1.0
SE_Riksbank_2017,SE_Riksbank_rapport_ekrona_uppdaterad_170920_eng.pdf,True,44,official,extracted,retail_or_general,,en,2.18
SG_MAS_mas-project-orchid-report,SG_MAS_mas-project-orchid-report.pdf,True,55,official,extracted,wholesale,REVIEW,en,2.64
SZ_Eswatini_2024-Fintech-Digital-Lilangeni-Design-Paper,SZ_Eswatini_2024-Fintech-Digital-Lilangeni-Design-Paper.pdf,True,42,official,extracted,retail_or_general,,en,2.74
TH_Thailand_n3063e,TH_Thailand_n3063e.pdf,False,2,official,extracted,retail_or_general,,en,0.0
TH_Thailand_rCBDC_Conclusion_Report,TH_Thailand_rCBDC_Conclusion_Report.pdf,False,36,official,extracted,retail_or_general,,en,1.31
TR_Turkey_Digital_Turkish_Lira_First_Phase_Evaluation_Report,TR_Turkey_Digital_Turkish_Lira_First_Phase_Evaluation_Report.pdf,True,64,official,extracted,retail_or_general,,en,2.08
TT_CBTT_WP02_2025,TT_CBTT_WP02_2025_Digital_Money.pdf,True,26,pseudo_official,extracted,retail_or_general,,en,0.69
UA_NBU_E-hryvnia_2019,UA_NBU_Analytical_Report_E-hryvnia.pdf,True,42,official,extracted,retail_or_general,,en,2.74
UK_BoE_2020_OpportChall,UK_BoE_central-bank-digital-currency-opportunities-challenges-and-design.pdf,False,57,official,extracted,retail_or_general,,en,2.63
UK_BoE_2023_TechWP,UK_BoE_the-digital-pound-technology-working-paper.pdf,False,86,official,extracted,retail_or_general,,en,2.37
UN_ESCAP_4e8e7145_2023,UN_ESCAP_content_4e8e7145.pdf,False,54,official,extracted,framework,REVIEW,en,0.3
UN_ESCAP_9919dd3a_2023,UN_ESCAP_content_9919dd3a.pdf,False,23,official,extracted,framework,REVIEW,en,0.0
UN_ESCAP_ESCAP-2022-RP-National-study-central-bank-digital-currency-stablecoin-Maldives,UN_ESCAP_ESCAP-2022-RP-National-study-central-bank-digital-currency-stablecoin-Maldives.pdf,False,68,official,extracted,framework,REVIEW,en,1.0
US_Fed_2022,US_Fed_money-and-payments-20220120.pdf,False,40,official,extracted,retail_or_general,,en,0.98
US_NYFed_CedarPhaseOne_2022,US_NYFed_project-cedar-phase-one-report.pdf,False,12,official,extracted,wholesale,REVIEW,en,2.08
US_WhiteHouse_TechEval_2022,US_WhiteHouse_archived_09-2022-Technical-Evaluation-US-CBDC-System.pdf,False,58,official,extracted,framework,REVIEW,en,3.09
UY_BCU_Seven_Lessons_2022,UY_BCU_Seven_Lessons_from_e-Peso_Sarmiento_2022.pdf,False,13,pseudo_official,extracted,retail_or_general,,en,2.15
UY_Uruguay_BCU_BilleteDigital_2017,UY_Uruguay_BCU_Billete_Digital_2017.pdf,False,11,official,extracted,retail_or_general,,es,0.73
ZA_SARB_Project_Khokha_2_Full_Report_6_April_2022,ZA_SARB_Project_Khokha_2_Full_Report_6_April_2022.pdf,False,60,official,extracted,retail_or_general,,en,1.6
ZA_SARB_Project_Khokha_2_Report_media_release_6_April_2022,ZA_SARB_Project_Khokha_2_Report_media_release_6_April_2022.pdf,False,3,official,extracted,retail_or_general,,en,0.67
ZA_SARB_SARB_ProjectKhokha-20180605,ZA_SARB_SARB_ProjectKhokha-20180605.pdf,False,80,official,extracted,retail_or_general,,en,1.25
IN_RBI_ConceptNote_2022,IN_India_CONCEPTNOTEACB531172E0B4DFC9A6E506C2C24FFB6.PDF,False,51,official,extracted,retail_or_general,,en,4.08
PE_BCRP_NotaInformativa_2024,PE_Peru_nota-informativa-2024-07-17.pdf,False,1,official,extracted,retail_or_general,,en,0.0
HK_HKMA_eHKD_PolicyDesign,HK_HKMA_e-HKD_A_Policy_and_Design_Perspective.pdf,False,42,official,extracted,retail_or_general,,en,1.45
