variant,dimension,category,mass,share
ensemble,code,PROG.remuneration_yes,1.5,0.000215858396892
openai,code,SYS.design,1496.83333333,0.266245701411
openai,code,OPS.resilience,695.366666667,0.123686706984
openai,code,INTEROP.domestic,458.166666667,0.0814953160204
openai,code,ADOPT.experience,319.866666667,0.0568955294676
openai,code,TECH.DLT,250,0.0444681607969
openai,code,STAB.disintermediation,219.5,0.0390430451797
openai,code,PROG.generic,213.333333333,0.03794616388
openai,code,ACCESS.universal,199.7,0.0355211668445
openai,code,OTHER.keep,172,0.0305940946282
openai,code,CASH.relation,158.7,0.0282283884739
openai,code,PRIV.ANON,142,0.0252579153326
openai,code,INTEROP.crossborder,134.833333333,0.0239831613898
openai,code,AML.LIMIT,126.833333333,0.0225601802443
openai,code,LEGAL.basis,118.7,0.0211134827464
openai,code,PROC.pilot_learning,106,0.0188545001779
openai,code,INST.mandate,103,0.0183208822483
openai,code,KYC.INTERMED,87,0.0154749199573
openai,code,PRIV.CB.visibility.opaque,77.5,0.013785129847
openai,code,TECH.TOKEN.considered,69.3333333333,0.012332503261
openai,code,PRIV.MIN,67,0.0119174670936
openai,code,PRIV.BAL,49.5,0.00880469583778
openai,code,PRIV.CB.visibility.transparent,47,0.00836001422981
openai,code,TECH.TOKEN.decided_yes,47,0.00836001422981
openai,code,PROG.restriction,45,0.00800426894344
openai,code,PROG.remuneration_no,37.3333333333,0.006640578679
openai,code,PROG.remuneration_considered,33,0.00586979722519
openai,code,PRIV.PET,32,0.005691924582
openai,code,KYC.TIER,30,0.00533617929562
openai,code,KYC.IDV,28,0.00498043400925
openai,code,AML.MON,22.5,0.00400213447172
openai,code,AML.FATF,14.5,0.00257915332622
openai,code,PRIV.OFF,8,0.0014229811455
openai,code,TECH.TOKEN.decided_no,8,0.0014229811455
openai,code,AML.RISK,3.5,0.000622554251156
openai,code,PROG.remuneration_yes,1,0.000177872643187
claude,family,SYS,1670.5,0.296503372382
claude,family,PRIV,581.916666667,0.103286593303
claude,family,TECH,443.583333333,0.0787332860017
claude,family,OPS,425.333333333,0.0754940243758
claude,family,INTEROP,412.75,0.0732605608804
claude,family,PROG,324.833333333,0.0576558987102
claude,family,AML,260.833333333,0.0462962962963
claude,family,PROC,227,0.0402910898119
claude,family,ADOPT,220,0.0390486332978
claude,family,KYC,208,0.0369187078452
claude,family,STAB,192,0.0340788072417
claude,family,ACCESS,184.75,0.0327919772808
claude,family,CASH,149.5,0.0265353212638
claude,family,LEGAL,147,0.0260915867945
claude,family,INST,127,0.0225417110401
claude,family,OTHER,59,0.0104721334753
consensus,family,SYS,611,0.341722595078
consensus,family,OPS,201,0.112416107383
consensus,family,INTEROP,129,0.0721476510067
consensus,family,PRIV,125,0.0699105145414
consensus,family,ADOPT,115,0.0643176733781
consensus,family,TECH,102,0.0570469798658
consensus,family,PROG,101,0.0564876957494
consensus,family,STAB,80,0.0447427293065
consensus,family,ACCESS,58,0.0324384787472
consensus,family,LEGAL,56,0.0313199105145
consensus,family,CASH,50,0.0279642058166
consensus,family,AML,45,0.0251677852349
consensus,family,KYC,42,0.0234899328859
consensus,family,PROC,35,0.0195749440716
consensus,family,INST,19,0.0106263982103
consensus,family,OTHER,19,0.0106263982103
ensemble,family,SYS,1981.16666667,0.285100973761
ensemble,family,OPS,699.1,0.100604403511
ensemble,family,INTEROP,611.375,0.0879802849331
ensemble,family,PRIV,606.958333333,0.0873447018756
ensemble,family,TECH,492.708333333,0.0709034873123
ensemble,family,PROG,402,0.057850050367
ensemble,family,ADOPT,325.933333333,0.0469036312179
ensemble,family,STAB,269.5,0.0387825586415
ensemble,family,AML,268.083333333,0.0385786923778
ensemble,family,ACCESS,225.225,0.0324111382933
ensemble,family,KYC,209,0.0300762699669
ensemble,family,PROC,206,0.0296445531731
ensemble,family,CASH,187.35,0.0269607137718
ensemble,family,LEGAL,164.1,0.0236149086199
ensemble,family,OTHER,151,0.0217297452871
ensemble,family,INST,149.5,0.0215138868902
openai,family,SYS,1496.83333333,0.266245701411
openai,family,OPS,695.366666667,0.123686706984
openai,family,INTEROP,593,0.10547847741
openai,family,PRIV,423,0.0752401280683
openai,family,TECH,374.333333333,0.0665836594332
openai,family,PROG,329.666666667,0.0586386813708
openai,family,ADOPT,319.866666667,0.0568955294676
openai,family,STAB,219.5,0.0390430451797
openai,family,ACCESS,199.7,0.0355211668445
openai,family,OTHER,172,0.0305940946282
openai,family,AML,167.333333333,0.0297640222934
openai,family,CASH,158.7,0.0282283884739
openai,family,KYC,145,0.0257915332622
openai,family,LEGAL,118.7,0.0211134827464
openai,family,PROC,106,0.0188545001779
openai,family,INST,103,0.0183208822483
claude,odr,decision,2394.5,0.425008874689
claude,odr,proposal,1699.5,0.301650692226
claude,odr,finding,1540,0.273340433085
consensus,odr,proposal,696,0.389261744966
consensus,odr,decision,675.5,0.377796420582
consensus,odr,finding,416.5,0.232941834452
ensemble,odr,proposal,2872.25,0.413332853648
ensemble,odr,decision,2434.25,0.350302201756
ensemble,odr,finding,1642.5,0.236364944596
openai,odr,proposal,2864,0.509427250089
openai,odr,decision,1647,0.29295624333
openai,odr,finding,1111,0.197616506581
claude,privacy_direction,neutral,5044.58333333,0.89538220329
claude,privacy_direction,increases,357.75,0.0634984025559
claude,privacy_direction,conditional,132.166666667,0.0234587622767
claude,privacy_direction,decreases,99.5,0.0176606318779
consensus,privacy_direction,neutral,1659.5,0.928131991051
consensus,privacy_direction,increases,80.5,0.0450223713647
consensus,privacy_direction,conditional,25,0.0139821029083
consensus,privacy_direction,decreases,23,0.0128635346756
ensemble,privacy_direction,neutral,6335.79166667,0.911755888137
ensemble,privacy_direction,increases,366.875,0.0527953662397
ensemble,privacy_direction,conditional,139.083333333,0.0200148702451
ensemble,privacy_direction,decreases,107.25,0.0154338753778
openai,privacy_direction,neutral,5191,0.923336890786
openai,privacy_direction,increases,256,0.045535396656
openai,privacy_direction,conditional,93,0.0165421558164
openai,privacy_direction,decreases,82,0.0145855567414
claude,privacy_relation,not_applicable,5152,0.91444799432
claude,privacy_relation,from_state,359,0.0637202697906
claude,privacy_relation,from_intermediary,100,0.0177493787717
claude,privacy_relation,from_counterparty,23,0.0040823571175
consensus,privacy_relation,not_applicable,1678.5,0.938758389262
consensus,privacy_relation,from_state,79.5,0.0444630872483
consensus,privacy_relation,from_intermediary,16,0.0089485458613
consensus,privacy_relation,from_counterparty,14,0.00782997762864
ensemble,privacy_relation,not_applicable,6423,0.92430565549
ensemble,privacy_relation,from_state,402.25,0.0578860267664
ensemble,privacy_relation,from_intermediary,80.75,0.0116203770327
ensemble,privacy_relation,from_counterparty,43,0.00618794071089
openai,privacy_relation,not_applicable,5230,0.930273923871
openai,privacy_relation,from_state,303.5,0.0539843472074
openai,privacy_relation,from_counterparty,56,0.0099608680185
openai,privacy_relation,from_intermediary,32.5,0.00578086090359
