variant,jur,analytic_candidate_mass,analytic_contributions,documents,privacy_family_share,privacy_posture,state_privacy_raw,raw_cash_substitution,raw_financial_inclusion,raw_sovereignty_competition,raw_payment_modernization,raw_monetary_transmission,raw_state_control,score_cash_substitution,score_financial_inclusion,score_sovereignty_competition,score_payment_modernization,score_monetary_transmission,score_state_control,state_privacy_score,score_cash_substitution_ungated,dominant_centre,dominant_score,second_score,mixed_case,iso3,country,cluster,is_composite
openai,MG,34,38,3,,0,0,0.294527363184,0.163432835821,0.0248756218905,0.532338308458,0.0721393034826,0,0.514739400637,0.676979611038,0.344509594883,0.95,0.369495707904,0.05,0.403610441696,0.840601129096,payment_modernization,0.95,0.676979611038,False,MDG,Madagascar,financial_inclusion,False
openai,MO,84,88,1,0.375,0.0744047619048,0.605263157895,0.333538461538,0.14,0.0467692307692,0.378974358974,0.0664615384615,0.148923076923,0.748168732423,0.636783393653,0.533625190355,0.695473636743,0.339857552796,0.570260913847,0.726212184003,0.910138954156,cash_substitution,0.748168732423,0.695473636743,True,MAC,Macau,monetary_transmission,False
openai,NA,7,8,1,,0,0,0.342857142857,0.571428571429,0,0.142857142857,0.542857142857,0,0.567492160298,0.95,0.05,0.205391458003,0.95,0.05,0.403610441696,0.926749633133,financial_inclusion,0.95,0.95,True,NAM,Namibia,,False
openai,NO,314,314,6,0.372881355932,0.0354299363057,0.438775510204,0.0701754385965,0.0482456140351,0.0245614035088,0.252380952381,0.158897243108,0.0231829573935,0.270243911593,0.410277382646,0.340789473684,0.396246059316,0.58274945413,0.134486073137,0.6318254861,0.355263157895,monetary_transmission,0.58274945413,0.410277382646,False,NOR,Norway,cash_substitution,False
openai,NZ,73,74,2,0.714285714286,0.00342465753425,0.0333333333333,0.241899441341,0.162011173184,0.0284916201117,0.334636871508,0.178770949721,0.0525139664804,0.464856983712,0.674540919417,0.387320430966,0.566220850455,0.609378504569,0.241377602844,0.419188552129,0.746791126897,financial_inclusion,0.674540919417,0.609378504569,True,NZL,New Zealand,cash_substitution,False
openai,PE,70,73,2,0.315789473684,-0.00535714285714,-0.107142857143,0.27486631016,0.433155080214,0.00160427807487,0.32513368984,0.107486631016,0.0695187165775,0.467060534644,0.95,0.0689935064935,0.538517144641,0.513863674079,0.3033483228,0.353537943876,0.805555028798,financial_inclusion,0.95,0.538517144641,False,PER,Peru,monetary_transmission,False
openai,PH,3,3,1,0,0,0,0,0,0.18,0.62,0,0,0.0306173393551,0.05,0.95,0.95,0.05,0.05,0.403610441696,0.05,sovereignty_competition,0.95,0.95,True,PHL,Philippines,monetary_transmission,False
openai,PW,33,35,1,0,0,0,0.0586666666667,0.0733333333333,0.379333333333,0.322,0.064,0.0266666666667,0.186888239424,0.52242472848,0.95,0.529381801926,0.327008225912,0.147181818182,0.403610441696,0.3052,sovereignty_competition,0.95,0.529381801926,False,PLW,Republic of Palau,financial_inclusion,False
openai,PY,2,2,1,,0,0,0.6,0,0,0,0,0,0.581729447748,0.05,0.05,0.05,0.05,0.05,0.403610441696,0.95,cash_substitution,0.581729447748,0.05,False,PRY,Banco Central del Paraguay (2024 design paper) — composite,financial_inclusion,False
openai,RU,262,263,3,0.25,-0.0219465648855,-1,0.0529010238908,0.0787258248009,0.0194539249147,0.319908987486,0.118885096701,0.138339021615,0.107145691126,0.531674900373,0.280320575329,0.523286075508,0.529136633651,0.541033233585,0.05,0.280119453925,state_control,0.541033233585,0.531674900373,True,RUS,Russian Federation,state_control,False
