jur,iso3,country,is_composite,n_own_design,n_privacy,n_directional,n_conditional,privacy_salience,directional_valence,conditionality,positive_density,negative_density,conditional_density,directional_weight,component_status,current_signed_density,net_privacy_posture
PY,PRY,Banco Central del Paraguay (2024 design paper) — composite,False,6,2,2,0,0.3333333333333333,-1.0,0.0,0.0,0.5,0.0,3.0,estimated,-0.5,-0.5
RU,RUS,Russian Federation,False,263,82,62,20,0.311787072243346,-0.3157894736842105,0.24390243902439024,0.12357414448669202,0.2376425855513308,0.04467680608365019,95.0,estimated,-0.12523764258555134,-0.1252376425855513
RW,RWA,Rwanda,False,4,2,1,1,0.5,-1.0,0.5,0.0,0.25,0.0625,1.0,estimated,-0.265625,-0.265625
SE,SWE,Sweden,False,92,14,8,6,0.15217391304347827,-0.6842105263157895,0.42857142857142855,0.016304347826086956,0.08695652173913043,0.04076086956521739,9.5,estimated,-0.08084239130434782,-0.0808423913043478
SG,SGP,Singapore,False,139,19,15,4,0.1366906474820144,-0.9111111111111111,0.21052631578947367,0.007194244604316547,0.15467625899280577,0.012589928057553957,22.5,estimated,-0.1506294964028777,-0.1506294964028777
SZ,SWZ,Eswatini,False,111,25,21,4,0.22522522522522523,-0.12,0.16,0.14864864864864866,0.1891891891891892,0.05405405405405406,37.5,estimated,-0.05405405405405406,-0.054054054054054
TH,THA,Thailand,False,40,5,3,2,0.125,-0.2,0.4,0.05,0.075,0.025,5.0,estimated,-0.03125,-0.03125
TR,TUR,Turkey,False,130,47,43,4,0.36153846153846153,0.53125,0.0851063829787234,0.3769230769230769,0.11538461538461539,0.01730769230769231,64.0,estimated,0.25721153846153844,0.2572115384615384
TT,TTO,Trinidad and Tobago,False,13,4,2,2,0.3076923076923077,-1.0,0.5,0.0,0.15384615384615385,0.07692307692307693,2.0,estimated,-0.17307692307692307,-0.173076923076923
UA,UKR,Ukraine,False,113,33,23,10,0.2920353982300885,-0.6578947368421053,0.30303030303030304,0.05752212389380531,0.27876106194690264,0.084070796460177,38.0,estimated,-0.24225663716814158,-0.2422566371681415
UK,GBR,United Kingdom,False,334,92,50,42,0.2754491017964072,0.30158730158730157,0.45652173913043476,0.12275449101796407,0.0658682634730539,0.0748502994011976,63.0,estimated,0.03817365269461078,0.0381736526946107
UN,UNI,International / cross-border bodies (UN-system),True,67,17,10,7,0.2537313432835821,-0.5,0.4117647058823529,0.04477611940298507,0.13432835820895522,0.08208955223880597,12.0,estimated,-0.11007462686567164,-0.1100746268656716
US,USA,United States,False,203,111,59,52,0.5467980295566502,-0.02608695652173913,0.46846846846846846,0.13793103448275862,0.14532019704433496,0.1834975369458128,57.5,estimated,-0.053263546798029554,-0.0532635467980295
UY,URY,Uruguay,False,32,8,5,3,0.25,-1.0,0.375,0.0,0.34375,0.1484375,11.0,estimated,-0.380859375,-0.380859375
ZA,ZAF,South Africa,False,190,45,35,10,0.23684210526315788,-0.014084507042253521,0.2222222222222222,0.13815789473684212,0.14210526315789473,0.05,53.25,estimated,-0.01644736842105263,-0.0164473684210526
